PCode,LAT,LONG,NAME,DISTRICT,COUNTRY
CG010300049,-4.08721900000,12.94444300000,Kabangui,Bouenza,Congo
CG010300050,-4.08721900000,12.94444300000,Kibangi,Bouenza,Congo
CG010300051,-4.08722000000,12.93444000000,Kimanza Panga,Bouenza,Congo
CG010300052,-4.08722000000,12.93444000000,Panga,Bouenza,Congo
CG010300053,-4.09694000000,12.89333100000,Kinkibi,Bouenza,Congo
CG010300054,-4.09694000000,12.89333100000,Kintibi,Bouenza,Congo
CG010300055,-4.08527400000,12.92999700000,Kimandza,Bouenza,Congo
CG010300056,-4.08527400000,12.92999700000,Kimanza,Bouenza,Congo
CG010300057,-4.02888600000,13.10027900000,Soulou,Bouenza,Congo
CG010300058,-4.09388900000,12.89166400000,Kihzambi,Bouenza,Congo
CG010300059,-4.09388900000,12.89166400000,Kimzambi,Bouenza,Congo
CG010300060,-4.09388900000,12.89166400000,Kinzambi,Bouenza,Congo
CG010300061,-4.02277700000,13.10583000000,Ngouele,Bouenza,Congo
CG010300062,-4.07777700000,12.92249800000,Mpaka,Bouenza,Congo
CG010300063,-4.07777700000,12.92249800000,Paka,Bouenza,Congo
CG010300064,-4.07916600000,12.91416600000,Nzomosi,Bouenza,Congo
CG010300065,-4.07916600000,12.91416600000,Passibe Nzomossi,Bouenza,Congo
CG010300066,-4.10582900000,12.83000400000,Boukouni-Favre,Bouenza,Congo
CG010300067,-4.10416800000,12.82444500000,Mbomo III,Bouenza,Congo
CG010300068,-4.07611300000,12.90472100000,Loulou Moyeko,Bouenza,Congo
CG010300069,-4.07611300000,12.90472100000,loulou-Mayekou,Bouenza,Congo
CG010300070,-4.07611300000,12.90472100000,Youlou Mayekou,Bouenza,Congo
CG010300071,-4.07249800000,12.88444500000,Kingimbi II,Bouenza,Congo
CG010300072,-4.07249800000,12.88444500000,Kinguimbi,Bouenza,Congo
CG010300073,-4.06999700000,12.88249800000,Boma,Bouenza,Congo
CG010300074,-4.06999700000,12.88249800000,Bomo,Bouenza,Congo
CG010300075,-4.06999700000,12.88249800000,Bomo II,Bouenza,Congo
CG010300076,-4.06999700000,12.88249800000,M'Bomo,Bouenza,Congo
CG010300077,-4.06999700000,12.88249800000,Mbomo II,Bouenza,Congo
CG010300078,-4.06667100000,12.88277700000,Mouteki-Holo,Bouenza,Congo
CG010300079,-4.06667100000,12.88277700000,Moutelokiwolo,Bouenza,Congo
CG010300080,-3.98582900000,13.12416600000,Pika-Songho,Bouenza,Congo
CG010300081,-3.98582900000,13.12416600000,Pikasongo,Bouenza,Congo
CG010300082,-4.05583200000,12.85583300000,Kingibi,Bouenza,Congo
CG010300083,-4.05583200000,12.85583300000,Kingimbi,Bouenza,Congo
CG010300084,-4.03527800000,12.83333500000,Bomo II,Bouenza,Congo
CG010300085,-4.03527800000,12.83333500000,Mbomo,Bouenza,Congo
CG010300086,-4.02361100000,12.81472200000,Bomo I,Bouenza,Congo
CG010300087,-4.02361100000,12.81472200000,Mbomo,Bouenza,Congo
CG010300088,-4.02361100000,12.81472200000,Mbomo II,Bouenza,Congo
CG010300089,-3.99778000000,12.78694800000,Moukombitsi,Bouenza,Congo
CG010300090,-3.99166900000,12.78694600000,Moalou,Bouenza,Congo
CG010300091,-3.99166900000,12.78694600000,Moualo,Bouenza,Congo
CG010300092,-3.99166900000,12.78694600000,Moualou,Bouenza,Congo
CG010300093,-4.00000300000,12.74999900000,Mibimba,Bouenza,Congo
CG010300094,-3.98611300000,12.78499900000,Mbomo I,Bouenza,Congo
CG010300095,-3.97972500000,12.77944400000,Bembike,Bouenza,Congo
CG010300096,-3.95528200000,12.76666400000,Koutina-Nzambi,Bouenza,Congo
CG010300097,-3.90916300000,12.91139100000,Louboulou,Bouenza,Congo
CG010300098,-3.93555300000,12.82305600000,Mouindi,Bouenza,Congo
CG010300099,-3.93278200000,12.82138900000,Koutina-Nzambi,Bouenza,Congo
CG010300100,-3.93639200000,12.76777700000,Boungou,Bouenza,Congo
CG010300101,-3.93138700000,12.76583700000,Pangala,Bouenza,Congo
CG010300102,-3.92444500000,12.76944700000,Mbote,Bouenza,Congo
CG010300103,-3.90694700000,12.77083400000,Dihetso,Bouenza,Congo
CG010300104,-3.86277700000,12.78083300000,Sinda,Bouenza,Congo
CG010300105,-3.84111200000,12.78944800000,Boungou,Bouenza,Congo
CG010300106,-3.82472400000,12.79361200000,Dihetso,Bouenza,Congo
CG010300107,-3.83583400000,12.72472500000,Moudilou,Bouenza,Congo
CG010300108,-3.80917000000,12.74333400000,Nitoumbi,Bouenza,Congo
CG010300109,-3.71805900000,12.78694300000,Ndollo,Bouenza,Congo
CG010400001,-4.16166300000,13.77722600000,Midimba,Bouenza,Congo
CG010400002,-4.10694600000,13.78611100000,Midimba,Bouenza,Congo
CG010400003,-4.13055300000,13.67305400000,Mari,Bouenza,Congo
CG010400004,-4.12666900000,13.62805900000,Kikondo,Bouenza,Congo
CG010400005,-4.04666400000,13.78721900000,Kibounda,Bouenza,Congo
CG010400006,-4.07750000000,13.67388900000,Dzassi,Bouenza,Congo
