PCode,LAT,LONG,NAME,DISTRICT,COUNTRY
CG010300026,-4.167218,12.858056,Bamaganzo,Bouenza,Congo
CG010300027,-4.1025,13.049447,Bamanganzo,Bouenza,Congo
CG010300028,-4.1025,13.049447,Yedeke,Bouenza,Congo
CG010300029,-4.1025,13.049447,Youloukoyi,Bouenza,Congo
CG010300030,-4.142776,12.913614,Soulou,Bouenza,Congo
CG010300031,-4.092221,13.072496,Youloukoye,Bouenza,Congo
CG010300032,-4.084719,13.070002,Kimanza Ikongo,Bouenza,Congo
CG010300033,-4.081114,13.071109,Konde,Bouenza,Congo
CG010300034,-4.079444,13.06833,Mayekou,Bouenza,Congo
CG010300035,-4.150829,12.835554,Koumounene,Bouenza,Congo
CG010300036,-4.07278,13.075829,Soundi,Bouenza,Congo
CG010300037,-4.100557,12.98083,Kabangui,Bouenza,Congo
CG010300038,-4.100557,12.98083,Kibangi,Bouenza,Congo
CG010300039,-4.068054,13.073337,Kimanza Panga,Bouenza,Congo
CG010300040,-4.130278,12.874722,Kinkibi,Bouenza,Congo
CG010300041,-4.061944,13.085552,Kintibi,Bouenza,Congo
CG010300042,-4.059726,13.08806,Kimandza,Bouenza,Congo
CG010300043,-4.056942,13.096108,Kimanza,Bouenza,Congo
CG010300044,-4.100274,12.948056,Kihzambi,Bouenza,Congo
CG010300045,-4.054443,13.090837,Kimzambi,Bouenza,Congo
CG010300046,-4.106669,12.900553,Ngouele,Bouenza,Congo
CG010300047,-4.090832,12.946946,Mpaka,Bouenza,Congo
CG010300048,-4.040278,13.1,Paka,Bouenza,Congo
CG010300049,-4.087219,12.944443,Nzomosi,Bouenza,Congo
CG010300050,-4.087219,12.944443,Passibe Nzomossi,Bouenza,Congo
CG010300051,-4.08722,12.93444,Boukouni-Favre,Bouenza,Congo
CG010300052,-4.08722,12.93444,Mbomo III,Bouenza,Congo
CG010300053,-4.09694,12.893331,Loulou Moyeko,Bouenza,Congo
CG010300054,-4.09694,12.893331,loulou-Mayekou,Bouenza,Congo
CG010300055,-4.085274,12.929997,Youlou Mayekou,Bouenza,Congo
CG010300056,-4.085274,12.929997,Kingimbi II,Bouenza,Congo
CG010300057,-4.028886,13.100279,Kinguimbi,Bouenza,Congo
CG010300058,-4.093889,12.891664,Boma,Bouenza,Congo
CG010300059,-4.093889,12.891664,Bomo,Bouenza,Congo
CG010300060,-4.093889,12.891664,Bomo II,Bouenza,Congo
CG010300061,-4.022777,13.10583,M'Bomo,Bouenza,Congo
CG010300062,-4.077777,12.922498,Mbomo II,Bouenza,Congo
CG010300063,-4.077777,12.922498,Mouteki-Holo,Bouenza,Congo
CG010300064,-4.079166,12.914166,Moutelokiwolo,Bouenza,Congo
CG010300065,-4.079166,12.914166,Pika-Songho,Bouenza,Congo
CG010300066,-4.105829,12.830004,Pikasongo,Bouenza,Congo
CG010300067,-4.104168,12.824445,Kingibi,Bouenza,Congo
CG010300068,-4.076113,12.904721,Kingimbi,Bouenza,Congo
CG010300069,-4.076113,12.904721,Mbomo,Bouenza,Congo
CG010300070,-4.076113,12.904721,Bomo I,Bouenza,Congo
CG010300071,-4.072498,12.884445,Moukombitsi,Bouenza,Congo
CG010300072,-4.072498,12.884445,Moalou,Bouenza,Congo
CG010300073,-4.069997,12.882498,Moualo,Bouenza,Congo
CG010300074,-4.069997,12.882498,Moualou,Bouenza,Congo
CG010300075,-4.069997,12.882498,Mibimba,Bouenza,Congo
CG010300076,-4.069997,12.882498,Mbomo I,Bouenza,Congo
CG010300077,-4.069997,12.882498,Bembike,Bouenza,Congo
CG010300078,-4.066671,12.882777,Koutina-Nzambi,Bouenza,Congo
CG010300079,-4.066671,12.882777,Louboulou,Bouenza,Congo
CG010300080,-3.985829,13.124166,Mouindi,Bouenza,Congo
CG010300081,-3.985829,13.124166,Boungou,Bouenza,Congo
CG010300082,-4.055832,12.855833,Pangala,Bouenza,Congo
CG010300083,-4.055832,12.855833,Dihetso,Bouenza,Congo
CG010300084,-4.035278,12.833335,Sinda,Bouenza,Congo
CG010300085,-4.035278,12.833335,Moudilou,Bouenza,Congo
CG010300086,-4.023611,12.814722,Nitoumbi,Bouenza,Congo
CG010300087,-4.023611,12.814722,Ndollo,Bouenza,Congo
CG010300088,-4.023611,12.814722,Mari,Bouenza,Congo
CG010300089,-3.99778,12.786948,Kikondo,Bouenza,Congo
CG010300090,-3.991669,12.786946,Kibounda,Bouenza,Congo
CG010300091,-3.991669,12.786946,Dzassi,Bouenza,Congo
CG010300092,-3.991669,12.786946,Nzasi,Bouenza,Congo
CG010300093,-4.000003,12.749999,Nganda,Bouenza,Congo
CG010300094,-3.986113,12.784999,Kiele,Bouenza,Congo
CG010300095,-3.979725,12.779444,Nzou-Tari,Bouenza,Congo
CG010300096,-3.955282,12.766664,Kimvembe,Bouenza,Congo
CG010300097,-3.909163,12.911391,Kimboukou,Bouenza,Congo
CG010300098,-3.935553,12.823056,Tseke-Mpembe,Bouenza,Congo
CG010300099,-3.932782,12.821389,Ngiri,Bouenza,Congo
CG010300100,-3.936392,12.767777,Nguiri,Bouenza,Congo
CG010300101,-3.931387,12.765837,Kikanga,Bouenza,Congo
CG010300102,-3.924445,12.769447,Mayombo,Bouenza,Congo
CG010300103,-3.906947,12.770834,Seke-Pembe,Bouenza,Congo
CG010300104,-3.862777,12.780833,Moukasa,Bouenza,Congo
CG010300105,-3.841112,12.789448,Moudzanga,Bouenza,Congo
CG010300106,-3.824724,12.793612,Moudzanga II,Bouenza,Congo
CG010300107,-3.835834,12.724725,Nzaki,Bouenza,Congo
CG010300108,-3.80917,12.743334,Kiloungou,Bouenza,Congo
CG010300109,-3.718059,12.786943,Mousanda,Bouenza,Congo
CG010400001,-4.161663,13.777226,Moussanda,Bouenza,Congo
CG010400002,-4.106946,13.786111,Mabombo,Bouenza,Congo
CG010400003,-4.130553,13.673054,Mabombo IV,Bouenza,Congo
CG010400004,-4.126669,13.628059,Bouanza,Bouenza,Congo
CG010400005,-4.046664,13.787219,Bambouyi,Bouenza,Congo
CG010400006,-4.0775,13.673889,Kinfikou,Bouenza,Congo
CG010400007,-4.0775,13.673889,Kiniangi,Bouenza,Congo
CG010400008,-4.051391,13.755003,Kinkoumba-Tanga,Bouenza,Congo
CG010400009,-4.055829,13.718608,Kingouala-Nsouadi,Bouenza,Congo
CG010400010,-4.034998,13.776113,Kimpombo,Bouenza,Congo
CG010400011,-4.049163,13.69611,Mousasi,Bouenza,Congo
CG010400012,-4.023329,13.722775,Kimbenza-Ndiba,Bouenza,Congo
CG010400013,-4.075275,13.518888,Moupepe,Bouenza,Congo
CG010400014,-4.000002,13.769446,Kintamba,Bouenza,Congo
CG010400015,-4.000002,13.769446,Kintsimba,Bouenza,Congo
CG010400016,-4.037499,13.637226,Mbaamba,Bouenza,Congo
CG010400017,-4.0025,13.70556,Mboma,Bouenza,Congo
CG010400018,-4.013607,13.655837,Mienge-Mienge,Bouenza,Congo
CG010400019,-3.973332,13.76528,Bouansa,Bouenza,Congo
CG010400020,-4.006113,13.63056,Bouenza,Bouenza,Congo
CG010400021,-4.006113,13.63056,Le Briz,Bouenza,Congo
CG010400022,-4.036388,13.524443,Moukoukoulou,Bouenza,Congo
CG010400023,-3.959445,13.781385,Moukoulou,Bouenza,Congo
CG010400024,-3.959445,13.781385,Moukouloukoulou,Bouenza,Congo
CG010400025,-3.954166,13.759166,Kimbedi,Bouenza,Congo
CG010400026,-3.948059,13.72806,Kimbonga,Bouenza,Congo
CG010400027,-3.939169,13.717222,Kingoye,Bouenza,Congo
CG010400028,-3.939169,13.717222,Kimpanzou,Bouenza,Congo
CG010400029,-3.976112,13.576945,Aubeville,Bouenza,Congo
CG010400030,-3.976112,13.576945,Nsanga,Bouenza,Congo
CG010400031,-3.91417,13.746942,Kimdambou-Kaye,Bouenza,Congo
CG010400032,-3.923893,13.64278,Kiboungou,Bouenza,Congo
CG010400033,-3.951111,13.543885,Mansoumba,Bouenza,Congo
CG010400034,-3.905278,13.641666,Makondo-Mabenge,Bouenza,Congo
CG010400035,-3.903887,13.626387,Nkieni,Bouenza,Congo
